era,base,A,B,A
AD,1,3,2,1
AD,1,4,1,1
AD,4,1,1,1
AD,1,1,4,1
AD,4,1,1,1
AD,4,0,1,1
BC,1,4,1,1
AD,1,4,1,1
BC,1,1,4,1
AD,1,4,1,1
AD,1,4,1,1
AD,1,4,1,1
AD,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
AD,1,4,1,1
AD,1,4,1,1
AD,1,1,1,4
AD,1,4,1,1
AD,1,4,1,1
BC,1,4,1,1
AD,1,4,1,1
BC,1,4,1,1
AD,1,3,3,1
AD,1,4,1,1
AD,1,4,2,1
AD,1,4,1,1
AD,1,4,1,1
AD,1,4,1,1
AD,1,4,1,1
AD,1,4,1,1
AD,1,4,1,1
AD,1,1,4,1
AD,1,4,1,1
AD,1,4,2,1
BC,1,4,1,1
BC,0,0,0,0
BC,1,4,1,1
BC,0,0,0,0
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
BC,1,4,1,1
AD,0,0,0,0
