era,base,A,A
AD,4,1,1
BC,4,1,1
AD,3,1,2
AD,4,1,1
AD,4,1,1
AD,4,1,1
AD,4,1,1
AD,3,1,0
AD,3,1,3
BC,4,1,1
BC,4,1,1
AD,4,1,1
AD,4,1,2
AD,4,1,2
BC,4,1,1
AD,4,1,1
AD,3,1,3
AD,4,1,2
AD,2,1,3
BC,4,1,1
AD,4,1,1
AD,3,1,4
AD,4,1,1
AD,4,1,3
BC,4,1,1
AD,4,1,1
AD,4,1,1
AD,4,1,1
AD,4,1,1
AD,4,1,1
BC,4,1,1
AD,4,1,1
BC,4,1,1
AD,2,1,4
AD,3,1,3
BC,4,1,1
AD,2,1,4
AD,4,1,1
AD,0,1,4
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,3,1,2
BC,4,1,1
BC,4,1,1
BC,4,1,2
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,2
BC,4,1,2
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,3,1,3
