era,base,A,A,C
AD,2,3,2,1
AD,3,2,1,1
AD,3,3,1,1
AD,0,4,1,1
AD,3,1,1,1
AD,4,1,1,1
AD,3,2,1,1
AD,4,1,1,1
AD,1,4,1,1
AD,4,1,1,1
AD,3,2,1,1
AD,3,3,1,1
AD,1,4,1,1
AD,4,1,1,1
AD,3,2,1,1
AD,3,2,1,1
AD,1,4,1,1
AD,3,3,1,1
AD,3,3,1,1
AD,3,3,1,1
AD,3,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,1,4,1,1
AD,1,2,3,1
AD,3,3,1,1
BC,3,3,1,1
AD,4,1,1,1
AD,2,3,1,1
AD,4,1,1,1
BC,3,2,1,1
BC,2,2,2,4
BC,3,2,1,1
BC,3,1,1,3
BC,4,1,1,1
BC,3,2,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,2,2,2,4
BC,3,3,1,1
BC,3,1,1,1
BC,3,3,1,1
BC,3,2,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,3,3,1,1
BC,4,1,1,1
BC,3,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,2,1,1
BC,4,1,1,1
BC,3,3,1,1
BC,3,3,1,1
BC,3,3,1,1
BC,3,3,1,1
BC,3,3,1,1
