era,base,A,A,A
AD,4,3,1,1
AD,3,4,1,1
AD,3,4,1,1
AD,3,4,1,1
AD,4,3,1,1
AD,3,4,1,1
AD,3,4,1,1
AD,4,3,1,1
AD,4,1,1,0
AD,4,1,1,1
AD,4,3,1,1
AD,4,1,1,1
AD,3,4,1,1
AD,4,1,1,0
AD,2,1,1,3
AD,4,3,1,1
AD,4,3,1,1
AD,3,4,1,1
AD,4,1,1,1
AD,4,1,1,0
AD,4,3,1,1
AD,3,4,1,1
AD,4,3,1,1
AD,4,3,1,1
AD,4,3,1,1
AD,4,3,1,1
AD,3,4,1,1
AD,4,3,1,1
AD,4,3,1,1
AD,3,4,1,1
BC,4,1,1,1
BC,1,1,4,1
BC,4,1,1,1
BC,4,1,1,1
BC,1,1,4,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,3
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,1,1,4,1
BC,4,1,1,1
BC,4,1,1,2
BC,1,1,4,1
BC,4,1,1,2
BC,4,1,1,1
BC,3,1,1,3
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,2
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
