era,base,A,B
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
AD,1,1,4
AD,1,1,4
BC,4,1,1
AD,1,1,4
AD,1,4,3
AD,1,1,4
AD,1,2,4
AD,1,1,4
AD,1,3,4
AD,1,2,4
BC,4,1,1
AD,1,2,4
AD,1,1,4
AD,1,1,4
AD,1,1,4
BC,4,1,1
AD,1,1,4
AD,1,2,4
AD,1,2,4
AD,1,1,4
AD,1,3,4
AD,1,3,4
AD,1,1,4
AD,1,3,4
AD,1,3,4
AD,1,3,4
AD,1,2,4
AD,1,4,3
AD,4,1,1
BC,4,1,1
AD,4,1,1
AD,1,1,4
AD,1,1,4
AD,1,1,4
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
