era,base,A,A
AD,1,1,4
AD,1,1,4
AD,1,1,4
AD,1,1,4
AD,1,1,4
AD,4,2,3
AD,4,1,3
AD,3,4,1
AD,1,1,4
AD,4,1,3
AD,4,3,1
AD,2,4,1
AD,3,1,4
AD,3,4,1
AD,4,3,1
AD,3,1,4
AD,3,1,4
AD,4,2,3
AD,4,3,1
BC,4,1,3
AD,4,3,1
AD,3,4,1
AD,4,3,1
AD,4,2,1
AD,3,4,1
AD,3,4,1
AD,4,1,1
AD,2,4,1
AD,4,1,1
AD,3,4,1
AD,3,4,1
BC,3,4,1
BC,4,3,1
BC,4,3,1
BC,4,3,1
BC,4,2,1
BC,3,4,1
BC,4,3,1
BC,4,3,1
BC,4,1,1
BC,4,1,1
BC,4,2,1
BC,4,1,1
BC,3,4,1
BC,3,4,1
BC,4,3,1
BC,4,3,1
BC,3,4,1
BC,4,1,3
BC,1,1,4
BC,3,1,4
BC,3,1,4
BC,4,3,1
BC,1,1,4
BC,4,1,2
BC,4,1,2
BC,1,1,4
BC,3,1,4
BC,1,4,3
BC,4,2,3
