era,base,A,A,C
AD,3,1,1,4
AD,4,1,1,1
AD,3,1,4,3
AD,4,3,2,1
AD,2,3,4,3
AD,3,2,4,2
AD,1,2,1,4
AD,1,1,3,4
AD,3,4,3,1
AD,3,1,4,1
AD,3,1,3,1
AD,2,1,4,1
AD,3,1,4,1
AD,3,2,3,1
AD,0,0,0,0
AD,3,1,4,1
AD,3,2,3,1
AD,1,2,1,3
AD,1,2,4,2
AD,1,1,4,1
AD,2,2,4,3
AD,1,1,3,3
AD,3,1,4,1
AD,3,2,4,1
AD,3,1,4,1
AD,0,1,3,2
BC,3,3,4,2
AD,3,3,3,1
AD,3,2,3,1
AD,2,2,4,3
AD,4,2,3,2
BC,3,3,2,1
BC,3,2,3,1
BC,4,1,3,2
BC,2,4,2,3
BC,4,1,3,1
BC,3,3,4,1
BC,3,1,3,1
BC,4,1,4,1
BC,1,1,3,4
BC,3,2,3,1
BC,1,2,4,3
BC,3,2,3,1
BC,3,2,3,2
BC,1,2,4,1
BC,3,1,3,1
BC,4,3,3,1
BC,4,3,3,2
BC,4,2,3,2
BC,1,1,3,3
BC,1,1,4,3
BC,4,2,3,1
BC,1,1,4,2
BC,2,4,1,1
BC,1,2,4,3
BC,3,1,4,1
BC,3,2,3,1
BC,3,1,4,1
BC,1,1,4,2
BC,2,3,3,3
