era,base,A,A
AD,1,1,4
BC,4,1,1
AD,1,1,4
AD,1,1,4
AD,1,1,4
AD,1,1,4
AD,1,1,4
AD,3,1,1
AD,1,1,4
AD,4,1,1
BC,4,1,1
AD,1,1,4
AD,4,1,1
AD,4,1,1
AD,3,1,3
AD,1,1,4
AD,3,1,3
BC,1,4,1
AD,4,1,1
AD,1,4,1
AD,3,1,1
AD,1,4,1
AD,4,1,1
AD,1,1,4
AD,4,1,1
AD,1,1,4
AD,1,4,1
AD,1,4,1
AD,1,1,4
AD,1,1,4
AD,1,1,4
BC,1,4,1
AD,3,1,1
AD,1,1,4
BC,4,1,1
BC,1,4,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,1,1,4
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,1,1,4
BC,4,1,1
BC,1,4,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
