era,base,A,A
AD,1,1,4
AD,2,4,1
AD,1,1,4
AD,1,1,4
AD,4,2,1
AD,4,1,1
BC,1,4,1
AD,1,1,4
AD,4,1,1
BC,4,2,1
BC,4,1,1
AD,3,0,0
BC,1,2,4
BC,4,1,1
BC,4,2,1
AD,4,2,1
AD,4,1,1
BC,1,4,1
BC,4,1,1
AD,4,2,1
AD,4,1,1
AD,4,1,1
AD,4,1,1
BC,4,1,1
AD,1,1,4
AD,4,4,1
AD,2,4,1
AD,1,0,4
AD,4,1,1
AD,2,4,1
AD,1,4,1
AD,4,1,1
BC,4,1,1
AD,4,1,1
AD,1,1,4
AD,4,2,1
BC,4,1,1
AD,4,1,1
AD,1,4,1
AD,1,4,0
AD,4,1,1
BC,4,1,1
BC,1,4,1
BC,1,1,4
BC,1,4,1
BC,1,1,4
BC,1,4,1
BC,1,1,4
BC,4,1,1
BC,4,1,1
BC,1,1,4
BC,1,4,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
BC,4,2,1
BC,4,1,1
BC,4,1,1
BC,4,1,1
