era,base,A,A
BC,4,1,2
BC,4,1,2
AD,2,4,2
AD,2,4,2
AD,2,4,2
AD,2,4,2
AD,2,4,2
AD,2,4,2
BC,3,1,2
AD,1,4,3
AD,2,4,2
AD,4,1,3
AD,2,4,2
AD,2,4,2
AD,1,4,3
AD,1,4,3
AD,3,4,3
AD,2,4,2
AD,2,4,2
AD,2,4,3
AD,2,4,2
AD,1,4,3
AD,4,2,3
AD,2,4,2
AD,2,4,2
AD,2,4,2
AD,1,4,3
BC,4,1,2
AD,2,4,3
AD,2,4,2
AD,2,4,2
AD,1,4,4
AD,2,4,2
AD,4,1,3
BC,4,1,2
BC,4,1,1
BC,4,1,3
BC,4,1,3
BC,4,1,3
BC,4,1,2
BC,4,1,2
BC,4,1,2
BC,4,1,3
BC,4,1,2
BC,4,1,2
BC,3,1,4
BC,4,1,2
BC,3,1,3
BC,4,0,2
BC,4,1,2
BC,3,1,4
BC,4,1,3
BC,4,1,3
BC,4,1,2
BC,4,2,3
BC,4,1,3
BC,4,1,2
BC,4,1,3
BC,4,1,3
BC,4,1,3
