era,base,A,B
AD,2,4,1
BC,3,3,1
AD,1,3,1
AD,2,4,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
AD,2,4,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
BC,2,2,1
AD,2,4,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
AD,2,2,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
AD,2,3,1
AD,2,2,1
AD,1,4,1
BC,2,4,1
AD,1,4,1
AD,1,3,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
AD,1,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,3,1,1
BC,3,3,1
BC,1,4,1
BC,2,4,1
BC,1,4,1
BC,1,4,1
BC,3,3,1
BC,2,4,1
BC,1,4,1
BC,3,2,1
BC,1,4,1
BC,1,4,1
BC,2,4,1
BC,2,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
