era,base,A,B,B
BC,4,1,1,1
AD,3,2,2,4
AD,3,4,1,2
AD,1,1,3,4
AD,1,1,4,1
AD,2,3,1,4
AD,3,1,1,4
AD,2,1,1,4
BC,4,1,1,3
AD,4,3,1,2
BC,2,4,1,3
AD,1,4,3,1
AD,3,2,1,4
AD,2,2,1,4
AD,1,2,4,1
BC,2,4,1,1
AD,4,1,1,3
AD,2,2,2,4
AD,2,1,1,4
BC,1,4,3,1
AD,2,1,1,4
BC,1,2,4,1
AD,1,2,4,1
BC,1,2,4,1
AD,2,4,1,1
BC,2,4,1,2
AD,2,4,3,1
AD,2,4,3,1
AD,3,4,1,1
AD,1,4,2,1
AD,4,1,1,3
AD,1,4,3,1
AD,1,3,4,1
AD,4,1,1,3
AD,2,3,1,4
AD,2,4,3,1
AD,2,1,4,1
AD,1,1,1,4
BC,4,2,1,3
BC,4,1,1,3
BC,1,4,3,1
BC,1,3,4,1
BC,2,4,2,1
BC,4,1,1,2
BC,4,2,1,3
BC,2,4,1,2
BC,1,3,4,1
BC,2,2,1,4
BC,2,2,1,4
BC,3,1,1,4
BC,3,1,1,4
BC,3,4,1,2
BC,2,3,1,4
BC,4,3,1,2
BC,2,4,1,3
BC,1,1,1,4
BC,2,4,1,1
BC,4,2,1,3
BC,3,1,1,4
BC,1,1,4,1
